timestamp,location,time_slot,hovered_slots,last_served_location,cancelled_rides,frequency_of_rides,demand
2023-01-01,Location_A,13:00,4,Location_D,0,3,9
2023-01-01,Location_A,0:00,3,Location_B,1,9,2
2023-01-01,Location_B,18:00,4,Location_C,0,2,6
2023-01-01,Location_A,6:00,1,Location_C,0,3,4
2023-01-01,Location_B,1:00,4,Location_C,0,3,4
2023-01-01,Location_A,11:00,4,Location_A,0,7,4
2023-01-01,Location_A,18:00,0,Location_D,1,4,4
2023-01-01,Location_C,20:00,2,Location_C,0,6,4
2023-01-01,Location_C,19:00,0,Location_A,1,3,5
2023-01-01,Location_D,3:00,1,Location_B,0,6,4
2023-01-01,Location_B,9:00,4,Location_D,1,9,3
2023-01-01,Location_D,6:00,4,Location_D,0,2,3
2023-01-01,Location_D,17:00,4,Location_C,0,3,5
2023-01-01,Location_B,3:00,0,Location_A,1,8,2
2023-01-01,Location_B,7:00,1,Location_C,1,2,7
2023-01-01,Location_B,19:00,0,Location_A,0,6,3
2023-01-01,Location_A,20:00,4,Location_B,1,1,3
2023-01-01,Location_C,14:00,4,Location_D,1,2,3
2023-01-01,Location_D,9:00,0,Location_D,0,5,4
2023-01-01,Location_D,23:00,2,Location_A,0,8,7
2023-01-01,Location_C,9:00,2,Location_C,1,3,7
2023-01-01,Location_C,7:00,3,Location_C,1,9,4
2023-01-01,Location_A,23:00,2,Location_B,0,4,4
2023-01-01,Location_B,10:00,1,Location_D,1,7,11
2023-01-01,Location_B,11:00,1,Location_B,1,1,2
2023-01-01,Location_B,16:00,3,Location_A,1,6,5
2023-01-01,Location_D,19:00,0,Location_D,1,1,9
2023-01-01,Location_A,16:00,4,Location_C,0,1,7
2023-01-01,Location_B,11:00,0,Location_A,1,6,2
2023-01-01,Location_C,1:00,4,Location_C,1,6,9
2023-01-01,Location_C,13:00,0,Location_A,0,3,10
2023-01-01,Location_D,8:00,2,Location_D,1,7,5
2023-01-01,Location_D,14:00,1,Location_A,1,5,5
2023-01-01,Location_D,19:00,2,Location_C,0,9,2
2023-01-01,Location_A,15:00,3,Location_C,0,2,6
2023-01-02,Location_B,8:00,4,Location_C,1,6,5
2023-01-02,Location_B,20:00,4,Location_D,0,9,4
2023-01-02,Location_A,22:00,0,Location_A,1,8,6
2023-01-02,Location_A,14:00,4,Location_B,0,1,7
2023-01-02,Location_C,23:00,0,Location_B,1,6,8
2023-01-02,Location_D,5:00,2,Location_A,1,9,3
2023-01-02,Location_A,0:00,3,Location_C,0,7,8
2023-01-02,Location_A,0:00,3,Location_C,0,5,7
2023-01-02,Location_A,17:00,2,Location_C,1,7,6
2023-01-02,Location_D,6:00,0,Location_B,1,6,7
2023-01-02,Location_C,12:00,1,Location_D,0,3,9
